igemid,unid,bitscore,score,expect,length,qlen,hsplen,plen,int_evalue,pqlen,p_id
BBa_E0030,P42212,479,1233,2.17E-173,238,723,238,1,173,0.987551867,97.059
BBa_E0040,P42212,489,1260,1.52E-177,238,720,238,1,177,0.991666667,98.739
BBa_E1010,Q9U6Y8,369,946,6.13E-130,221,706,225,0.98,130,0.939093484,86.878
BBa_I712011,P19848,89.4,220,9.68E-25,42,135,76,0.93,25,0.933333333,100
BBa_I712019,P08659,1079,2790,0,539,1653,550,0.98,180,0.978221416,99.629
BBa_I715022,Q9U6Y8,262,670,2.44E-89,154,462,225,1,89,1,90.26
BBa_I715023,Q9U6Y8,108,271,2.70E-30,67,220,225,0.91,30,0.913636364,79.104
BBa_I732006,A7ZWZ1,158,400,1.14E-45,76,234,1024,0.97,45,0.974358974,100
BBa_I732100,P03023,732,1889,0,360,1086,360,1,180,0.994475138,100
BBa_J31001,P03013,345,884,1.42E-121,190,612,190,1,121,0.931372549,99.474
BBa_J31005,P62580,465,1197,1.66E-168,219,660,219,1,168,0.995454545,100
BBa_J45014,P40353,1023,2646,0,525,1581,525,1,180,0.996204934,99.81
BBa_J52035,Q99836,290,743,1.06E-99,137,420,296,0.98,99,0.978571429,100
BBa_J61047,P06956,707,1826,0,343,1037,343,1,180,0.992285439,100
BBa_K076016,P17493,249,637,2.90E-86,124,375,124,1,86,0.992,100
BBa_K079015,P02920,748,1931,0,417,1254,417,1,180,0.997607656,100
BBa_K082003,P42212,489,1260,2.48E-177,238,756,238,1,177,0.944444444,98.739
BBa_K082006,P12746,514,1323,0,250,753,250,1,180,0.996015936,99.6
BBa_K1011000,P0A9A6,661,1705,0,383,1152,383,1,180,0.997395833,100
BBa_K1017301,Q55168,1113,2878,0,759,2238,748,1.02,180,1.017426273,74.967
BBa_K1027002,P20388,664,1713,0,351,1062,351,1,180,0.991525424,100
BBa_K103001,Q9GZX7,409,1050,8.06E-147,198,600,198,1,147,0.99,100
BBa_K103004,P02976,80.1,196,1.87E-18,57,190,516,0.9,18,0.9,73.684
BBa_K1033000,Q3IWB0,959,2480,0,523,1596,523,1,180,0.983082707,100
BBa_K1033902,P83690,465,1196,2.56E-168,221,669,221,1,168,0.99103139,100
BBa_K1033906,Q95W86,346,887,4.53E-121,228,690,227,1,121,0.991304348,71.491
BBa_K1033910,P42212,247,631,7.86E-82,230,714,238,0.97,82,0.966386555,51.739
BBa_K1033916,Q9U6Y6,479,1234,6.91E-174,229,693,229,1,174,0.991341991,100
BBa_K1037000,P52045,540,1390,0,261,786,261,1,180,0.996183206,100
BBa_K1037001,P27254,683,1762,0,331,996,331,1,180,0.996987952,100
BBa_K1037002,P27253,1418,3671,0,714,2145,714,1,180,0.998601399,99.86
BBa_K1037003,P52043,977,2525,0,492,1479,492,1,180,0.997971602,100
BBa_K1045001,Q0S7V2,55.5,132,2.44E-08,202,639,204,0.99,8,0.948356808,27.228
BBa_K1061001,P69485,254,649,8.21E-87,121,366,216,0.99,87,0.991803279,98.347
BBa_K1061003,Q9Y572,934,2414,0,518,1557,518,1,180,0.998073218,99.807
BBa_K1061012,P04483,428,1100,6.01E-152,207,1008,207,1,152,0.616071429,100
BBa_K1061012,P04486,178,451,1.29E-50,128,1008,490,0.38,50,0.380952381,100
BBa_K1061015,P04483,424,1091,4.42E-152,206,747,207,1,152,0.827309237,100
BBa_K1061016,P04483,419,1077,1.58E-148,207,1008,207,1,148,0.616071429,98.068
BBa_K1061016,P06492,179,453,7.27E-51,128,1008,490,0.38,51,0.380952381,100
BBa_K1072001,P00393,863,2230,0,434,1305,434,1,180,0.997701149,99.77
BBa_K1122007,Q95P04,451,1161,5.73E-163,220,685,221,1,163,0.96350365,97.273
BBa_K1122008,Q8ISF8,347,889,4.32E-121,228,721,231,0.99,121,0.948682386,70.614
BBa_K1129002,O69762,528,1361,0,276,831,276,1,180,0.996389892,92.391
BBa_K1129003,Q1LRV9,343,879,5.44E-111,473,1572,533,0.9,111,0.902671756,40.803
BBa_K1129005,Q9S9N9,651,1679,0,344,1035,344,1,180,0.997101449,100
BBa_K1129021,O69762,528,1361,0,276,1124,276,1,180,0.736654804,92.391
BBa_K1129022,O69762,528,1361,0,276,1029,276,1,180,0.804664723,92.391
BBa_K1129023,P44446,100,250,6.92E-21,441,2063,607,0.73,21,0.641299079,24.036
BBa_K1129024,P44446,100,250,6.17E-21,441,1968,607,0.73,21,0.672256098,24.036
BBa_K1129042,Q42524,1089,2816,0,561,1884,561,1,180,0.893312102,100
BBa_K1159000,P05789,805,2080,0,418,1254,419,1,180,1,100
BBa_K1159001,Q9GV45,316,810,8.05E-111,169,510,196,0.99,111,0.994117647,90.533
BBa_K1159002,P07788,730,1884,0,512,1524,513,1.01,180,1.007874016,68.555
BBa_K1159004,P36873,667,1721,0,322,972,323,1,180,0.99382716,100
BBa_K1159006,Q9GV45,317,811,1.58E-110,169,583,196,0.87,110,0.869639794,90.533
BBa_K1159010,Q9GV45,320,819,1.20E-111,197,616,196,1.01,111,0.959415584,81.726
BBa_K1159112,P42212,472,1215,1.36E-166,238,1467,238,1,166,0.486707566,95.378
BBa_K1161000,Q9S3V1,840,2170,0,418,1278,418,1,180,0.981220657,100
BBa_K1162006,Q1KLX1,75.5,184,2.26E-18,37,114,170,0.97,18,0.973684211,100
BBa_K117000,Q03709,66.2,160,7.89E-16,47,144,47,1,16,0.979166667,100
BBa_K1172201,P0A9S5,747,1928,0,367,1104,367,1,180,0.997282609,100
BBa_K1172303,Q02008,446,1147,1.17E-145,370,3597,364,1.02,145,0.308590492,64.324
BBa_K1172303,P25539,366,940,2.39E-115,361,3597,367,0.98,115,0.301084237,52.632
BBa_K1172901,P0A6B5,707,1826,0,359,1080,359,1,180,0.997222222,100
BBa_K118002,P21683,640,1652,0,309,933,309,1,180,0.993569132,100
BBa_K118003,P21685,997,2577,0,492,1482,492,1,180,0.995951417,100
BBa_K118015,B7NMJ5,823,2125,0,431,1299,431,1,180,0.995381062,99.768
BBa_K118016,B7NMJ5,860,2223,0,431,1299,431,1,180,0.995381062,99.536
BBa_K1184000,P83690,97.4,241,2.13E-23,222,723,221,1,23,0.921161826,25.676
BBa_K1189001,P14727,1351,3496,0,797,2692,1164,0.89,180,0.888187221,89.837
BBa_K1189001,P03023,57,136,4.15E-07,28,2692,360,0.08,7,0.031203566,100
BBa_K1189021,P14727,1373,3553,0,797,3793,1164,0.68,180,0.630371737,90.213
BBa_K1189021,P02794,385,988,1.05E-124,183,3793,183,1,124,0.144740311,100
BBa_K1189029,P14727,1362,3525,0,797,2782,1164,0.86,180,0.85945363,90.213
