igemid,unid,start,length
BBa_A340620,P12746,19,750
BBa_B1101,Q9U6Y8,61,663
BBa_B1102,Q9U6Y8,61,663
BBa_B1103,Q9U6Y8,61,663
BBa_B1104,Q9U6Y8,61,663
BBa_B1105,Q9U6Y8,61,663
BBa_B1106,Q9U6Y8,66,663
BBa_B1107,Q9U6Y8,67,663
BBa_B1108,Q9U6Y8,67,663
BBa_B1109,Q9U6Y8,67,663
BBa_B1110,Q9U6Y8,67,663
BBa_B1201,P42212,61,714
BBa_B1202,P42212,61,714
BBa_B1203,P42212,61,714
BBa_B1204,P42212,61,714
BBa_B1205,P42212,61,714
BBa_B1206,P42212,66,714
BBa_B1207,P42212,67,714
BBa_B1208,P42212,67,714
BBa_B1209,P42212,67,714
BBa_B1210,P42212,67,714
BBa_B3101,P0A9E0,4,876
BBa_B3101,P42212,1237,714
BBa_B3101,Q9U6Y8,2025,663
BBa_B3102,P0A9E0,4,876
BBa_B3102,P42212,1237,714
BBa_B3102,Q9U6Y8,2025,663
BBa_B3103,P0A9E0,4,876
BBa_B3103,P42212,1237,714
BBa_B3103,Q9U6Y8,2025,663
BBa_B3104,P0A9E0,4,876
BBa_B3104,P42212,1237,714
BBa_B3104,Q9U6Y8,2025,663
BBa_B3105,P0A9E0,4,876
BBa_B3105,P42212,1237,714
BBa_B3105,Q9U6Y8,2025,663
BBa_B3106,P0A9E0,4,876
BBa_B3106,P42212,1237,714
BBa_B3106,Q9U6Y8,2030,663
BBa_B3107,P0A9E0,4,876
BBa_B3107,P42212,1237,714
BBa_B3107,Q9U6Y8,2031,663
BBa_B3108,P0A9E0,4,876
BBa_B3108,P42212,1237,714
BBa_B3108,Q9U6Y8,2031,663
BBa_B3109,P0A9E0,4,876
BBa_B3109,P42212,1237,714
BBa_B3109,Q9U6Y8,2031,663
BBa_B3110,P0A9E0,4,876
BBa_B3110,P42212,1237,714
BBa_B3110,Q9U6Y8,2031,663
BBa_B3201,P0A9E0,4,876
BBa_B3201,P42212,2011,714
BBa_B3201,Q9U6Y8,1237,663
BBa_B3202,P0A9E0,4,876
BBa_B3202,P42212,2011,714
BBa_B3202,Q9U6Y8,1237,663
BBa_B3203,P0A9E0,4,876
BBa_B3203,P42212,2011,714
BBa_B3203,Q9U6Y8,1237,663
BBa_B3204,P0A9E0,4,876
BBa_B3204,P42212,2011,714
BBa_B3204,Q9U6Y8,1237,663
BBa_B3205,P0A9E0,4,876
BBa_B3205,P42212,2011,714
BBa_B3205,Q9U6Y8,1237,663
BBa_B3206,P0A9E0,4,876
BBa_B3206,P42212,2016,714
BBa_B3206,Q9U6Y8,1237,663
BBa_B3207,P0A9E0,4,876
BBa_B3207,P42212,2017,714
BBa_B3207,Q9U6Y8,1237,663
BBa_B3208,P0A9E0,4,876
BBa_B3208,P42212,2017,714
BBa_B3208,Q9U6Y8,1237,663
BBa_B3209,P0A9E0,4,876
BBa_B3209,P42212,2017,714
BBa_B3209,Q9U6Y8,1237,663
BBa_B3210,P0A9E0,4,876
BBa_B3210,P42212,2017,714
BBa_B3210,Q9U6Y8,1237,663
BBa_B4001,P0A9E0,4,876
BBa_B4001,P42212,1237,714
BBa_B4001,Q9U6Y8,1983,663
BBa_C0012,P03023,10,1080
BBa_C0020,P0AE69,1,387
BBa_C0024,P07330,1,1047
BBa_C0028,P07364,1,858
BBa_C0040,P04483,1,621
BBa_C0040,P04483,4,615
BBa_C0041,P04483,1,621
BBa_C0041,P04483,4,615
BBa_C0050,P18680,1,705
BBa_C0051,P03034,1,711
BBa_C0051,P03034,4,708
BBa_C0052,P16117,1,285
BBa_C0053,P69202,1,648
BBa_C0056,P16117,1,285
BBa_C0060,Q9L8R8,1,750
BBa_C0061,P12747,1,579
BBa_C0062,P12746,1,750
BBa_C0070,P54291,1,603
BBa_C0071,P54292,1,687
BBa_C0071,P54292,1,723
BBa_C0072,P03049,1,249
